Nr.;Viertel;Straße;Koordinaten 
1;Albachten;Albachtener Park;51.918638, 7.521297
2;Roxel;Schwerinerstr 25 (Art Parkbucht);51.952700, 7.543774
3;Gievenbeck;Dieckmannstr. 6;51.972357,7.564990
4;Gievenbeck;Dieckmannstr. 131 (Höhe Mosaikschule);51.964894,7.566887
5;Gievenbeck;Toppheideweg Platz;51.975344, 7.569535
6;Kreuzviertel;Heerdestraße 8;51.968534, 7.621024
7;Kreuzviertel;Münzstraße 19 (gegenüber);51.966622,7.621727
8;Kinderhaus;Westhoffstr. 116;51.993760,7.599200
9;Kinderhaus;Grotemeyerstr. 23;51.992600, 7.596400
10;Kinderhaus;Ohmweg 19 (gegenüber  Bushaltestelle Eimermacherweg C);51.992005, 7.598041
11;Kinderhaus;Langebusch 25;51.996383,7.596616
12;Kinderhaus;Langeworth 53-57;51.99657, 7.59172
13;Kinderhaus;Brüningheide 89;52.000707, 7.594597
14;Kinderhaus;Deitersweg 15;51.99222, 7.59291
15;Coerde;Hoher Heckenweg 251 (Höhe Norbertschule) ;51.989109,7.648229
16;Coerde;Hoher Heckenweg (Höhe Morthorststr.66) ;51.991769,7.648178
17;Erphoviertel;Staufenstraße 61;51.967146, 7.645486
18;Erphoviertel;Staufenstraße 27 (vorm Spielplatz);51.965397, 7.643527
19;Erphoviertel;Auf der Horst 32;51.965751,7.641808
20;Erphoviertel;Erphostraße 40;51.96477, 7.64627
21;Erphoviertel;Burchardstraße 5;51.96549, 7.64481
22;Centrum;Alsenstraße 5;51.96918, 7.64141
23;Mitte/Mauritz;Johanniterstr./Ecke Schwellingstr. ;51.960148,7.639778
24;Mauritz;Eugen Müller Str. 19 ;51.964140,7.655247
25;Mauritz;Niesertstr. 22;51.964926, 7.657874
26;Mauritz;Niesertstr 9;51.964495, 7.6566158
27;Mauritz;Propsteistraße 60 ;51.965898,7.658143
28;Mauritz;Lohausweg 24;51.95597, 7.66195
29;Hansaviertel;Emdener Str. 51/ Hansaring;51.953409, 7.643373
30;Hansaviertel;Dortmunder/Hansaring ;51.953265,7.641515
31;Hansaviertel;Dortmunder/Leerestr.;51.954652,7.641816
32;Hansaviertel;Meppener-/Papenburger Str.6;51.953740,7.640366
33;Hansaviertel;Lingener-/Meppener Str.;51.954388,7.639031
34;Hansaviertel;Papenburger-/Hansaring 31;51.953211,7.640698
35;Hansaviertel;Soester Str./Hansaring ;51.952983,7.638097
36;Hansaviertel;Schillerstr. 161;51.952113,7.649670
37;Hansaviertel;Soester Str 50 (vor dem Spielplatz);51.953707, 7.638036
38;Hansaviertel;Schillerstr/Ecke Hansaplatz;51.954951, 7.644251
39;Hansaviertel;Emdener Str. 51/ Hansaring;51.953445, 7.643181
40;Pluggendorf ;Scharnhorststr. 86;51.931190,7.610025
41;Pluggendorf ;Scharnhorststr. 49;51.953265,7.614343
42;Pluggendorf;Kreuzung Norbertstr/Hermanstr/Antoniusstraße;51.953338, 7.622841
43;Gremmendorf;Wilhelm-Holthausweg 49;51.93365, 7.67894
44;Bahnhofviertel;Friedrich-Ebert-Str. 121;51.946061,7.630721
45;Südviertel;Dahlweg 45 (Hermannschule);51.944971, 7.626676
46;Geist;Grüner Grund (Höhe 39, vorschlag von H.Lau);51.941155, 7.614288
47;Geist;Grüner Grund 40;51.941260,7.613461
48;Geist;Grüner Grund 46;51.940919,7.613486
49;Geist;Grüner Grund 47 ;51.940784,7.614213
50;Geist;Grüner Grund 61;51.940082,7.614102
51;Geist;Grüner Grund 68/ Inselbogen 29 seitlich;51.939925, 7.613165
52;Geist;Spichernstr. 30;51.934554,7.622033
53;Geist;Geistr. 33;51.949099,7.621945
54;Geist;Elsässerstraße 21;51.93890, 7.62039
55;Geist;Prinz-Eugen Str. 45;51.94604, 7.61839
56;Aaseestadt;Tresckowstraße 10;51.933920, 7.594775
57;Hiltrup;Vennheideweg 38;51.921668,7.626347
58;Hiltrup;Max Winkelmann Straße 41;51.903196, 7.649246
59;Hiltrup;Schürgeist 17;51.91204, 7.63810
60;Uppenberg;Grevener Straße 122 zwischen zwei Baumscheiben;51.975403, 7.612439
